Organism Group,Name,Name Link,Taxonomy Link,Growth Media Links,External Links
Bacterium,Pararhodospirillum photometricum DSM 118,/strains/view/DSM 118,/taxonomy?level=species&item=Pararhodospirillum photometricum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-118', 'https://bacdive.dsmz.de/strain/13954']"
Bacterium,Phaeospirillum sp. DSM 119,/strains/view/DSM 119,/taxonomy?level=species&item=Magnetospirillum sp.,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-119', 'https://bacdive.dsmz.de/strain/13955']"
Bacterium,Magnetospirillum molischianum DSM 120,/strains/view/DSM 120,/taxonomy?level=species&item=Magnetospirillum molischianum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-120', 'https://bacdive.dsmz.de/strain/13956']"
Bacterium,Phaeospirillum sp. DSM 121,/strains/view/DSM 121,/taxonomy?level=species&item=Magnetospirillum sp.,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-121', 'https://bacdive.dsmz.de/strain/14003']"
Bacterium,Pararhodospirillum photometricum DSM 122,/strains/view/DSM 122,/taxonomy?level=species&item=Pararhodospirillum photometricum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-122', 'https://bacdive.dsmz.de/strain/14004']"
Bacterium,Rhodopseudomonas pseudopalustris DSM 123,/strains/view/DSM 123,/taxonomy?level=species&item=Rhodopseudomonas pseudopalustris,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-123', 'https://bacdive.dsmz.de/strain/1828']"
Bacterium,Rhodopseudomonas palustris DSM 126,/strains/view/DSM 126,,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-126', 'https://bacdive.dsmz.de/strain/169288']"
Bacterium,Rhodopseudomonas palustris DSM 127,/strains/view/DSM 127,/taxonomy?level=species&item=Rhodopseudomonas palustris,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-127', 'https://bacdive.dsmz.de/strain/1819']"
Bacterium,Rhodopseudomonas parapalustris DSM 130,/strains/view/DSM 130,/taxonomy?level=species&item=Rhodopseudomonas parapalustris,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-130', 'https://bacdive.dsmz.de/strain/1820']"
Bacterium,Rhodopseudomonas palustris DSM 131,/strains/view/DSM 131,/taxonomy?level=species&item=Rhodopseudomonas palustris,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-131', 'https://bacdive.dsmz.de/strain/1821']"
Bacterium,Blastochloris viridis DSM 133,/strains/view/DSM 133,/taxonomy?level=species&item=Blastochloris viridis,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-133', 'https://bacdive.dsmz.de/strain/6160']"
Bacterium,Blastochloris viridis DSM 134,/strains/view/DSM 134,/taxonomy?level=species&item=Blastochloris viridis,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-134', 'https://bacdive.dsmz.de/strain/6161']"
